name	code	seconds	last
selftest_v01800_cp2_nd_publish_airfields_ui_hotfix1.py	0	2.097	[v0.18.0.0 CP2 ND publish and airfields UI collapse hotfix 1] 48/48 PASS
selftest_v01800_cp2_preload_status_toolbar.py	0	1.577	[v0.18.0.0 CP2 FMJ-style Preload status toolbar] 52/52 PASS
selftest_v01800_cp2_preload_terrain_integration.py	0	1.821	[v0.18.0.0 CP2 Preload Terrain integrated foundation] 622/622 PASS
selftest_v01800_cp2_render_hotfix2.py	0	2.164	[v0.18.0.0 CP2 progressive HD overlay and profile persistence] 29/29 PASS
selftest_v01800_cp2_responsive_airfields_ui_resize_hotfix1.py	0	1.970	[v0.18.0.0 CP2 responsive airfields UI and resize hotfix 1] 30/30 PASS
selftest_v01800_cp2_runway_map_lock_hotfix1.py	0	1.315	[v0.18.0.0 CP2 runway/map geodetic lock hotfix 1] 52/52 PASS
selftest_v01800_cp2_runway_map_lock_hotfix2_compile_hotfix1.py	0	1.269	[v0.18.0.0 CP2 runway map lock hotfix 2 compile hotfix 1] 5/5 PASS
selftest_v01800_cp2_runway_map_lock_hotfix2_preload_fastpath1.py	0	1.448	[v0.18.0.0 CP2 runway map lock hotfix 2 + preload fast path 1] 100/100 PASS
selftest_v01800_cp2_runway_presentation_ui_hotfix1.py	0	0.943	[v0.18.0.0 CP2 runway presentation UI hotfix 1] 11/11 PASS
selftest_v01800_cp2_runway_terrain_safety_hotfix1.py	0	1.980	[v0.18.0.0 CP2 runway/terrain safety hotfix 1] 70/70 PASS
selftest_v01800_cp2_supply_pipeline_hotfix3.py	0	2.241	[v0.18.0.0 CP2 Terrain Supply Hotfix 3 pipeline] 85/85 PASS
selftest_v01800_cp2_terrain_tiles.py	0	2.540	[v0.18.0.0 CP2 terrain tile, cache and GPU-display foundation] 272/272 PASS
selftest_v01800_physical_runway_federation.py	0	1.730	[v0.18.0.0 physical runway federation] 33/33 PASS
selftest_v01800_schema7_identity_migration.py	0	2.074	[v0.18.0.0 failure-hint identity compaction regression] 27/27 PASS
selftest_v01800_submetre_provider_frame_cache.py	0	2.290	[v0.18.0.0 sub-metre provider-frame cache regression] 31/31 PASS
verify_v01800_cp1_build_entrypoint.py	0	1.637	[v0.18.0.0 CP1 build-entry regression verification] 10/10 PASS
verify_v01800_cp1_static.py	0	2.070	[v0.18.0.0 CP1 static package verification] 28/28 PASS
verify_v01800_cp2_build_entrypoint.py	0	1.849	[v0.18.0.0 CP2 build entrypoint verification] 12/12 PASS
verify_v01800_cp2_static.py	0	1.540	[v0.18.0.0 CP2 static package verification] 168/168 PASS
verify_v01800_gate0_static.py	0	3.642	[v0.18.0.0 Gate 0 static verification] 194/194 PASS
